JobID|ProcID|System|SubmissionType|Group|Class|Nan|User|Nan2|Submission|Submit|Start|Stop|Elapsed|ExitCode|State|NNodes|NCpus|NProcs|ReqMem|Nan3|AllRequest|Timelimit|NodeList
27499830|27499830|accre|production|h_vuiis|h_vuiis|36052|masispider||2018-05-24T18:08:41|2018-05-24T18:08:41|2018-05-24T21:10:23|2018-05-24T21:13:53|00:03:30|0:0|CANCELLED by 0|1|2|2|10Gn||cpu=2,mem=10G,node=1|2-12:00:00|vmp1082
27499844|27499844|accre|production|h_vuiis|h_vuiis|36052|masispider||2018-05-24T18:08:43|2018-05-24T18:08:43|2018-05-24T21:14:22|2018-05-24T21:22:23|00:08:01|0:0|CANCELLED by 0|1|2|2|10Gn||cpu=2,mem=10G,node=1|2-12:00:00|vmp1003
27499851|27499851|accre|production|h_vuiis|h_vuiis|36052|masispider||2018-05-24T18:08:44|2018-05-24T18:08:44|2018-05-24T21:14:22|2018-05-24T21:17:53|00:03:31|0:0|CANCELLED by 0|1|2|2|10Gn||cpu=2,mem=10G,node=1|2-12:00:00|vmp1011
27499871|27499871|accre|production|h_vuiis|h_vuiis|36052|masispider||2018-05-24T18:08:45|2018-05-24T18:08:45|2018-05-24T21:18:22|2018-05-24T21:22:53|00:04:31|0:0|CANCELLED by 0|1|2|2|10Gn||cpu=2,mem=10G,node=1|2-12:00:00|vmp1016
27499921|27499921|accre|production|h_vuiis|h_vuiis|36052|masispider||2018-05-24T18:08:50|2018-05-24T18:08:50|2018-05-24T21:30:22|2018-05-24T21:34:54|00:04:32|0:0|CANCELLED by 0|1|2|2|10Gn||cpu=2,mem=10G,node=1|2-12:00:00|vmp1011
27499923|27499923|accre|production|h_vuiis|h_vuiis|36052|masispider||2018-05-24T18:08:50|2018-05-24T18:08:50|2018-05-24T21:30:22|2018-05-24T21:37:52|00:07:30|0:0|CANCELLED by 0|1|2|2|10Gn||cpu=2,mem=10G,node=1|2-12:00:00|vmp1079
27501185|27501185|accre|production|h_vuiis|h_vuiis|36052|masispider||2018-05-24T21:08:01|2018-05-24T21:08:01|2018-05-24T21:38:24|2018-05-24T21:43:56|00:05:32|0:0|CANCELLED by 0|1|2|2|10Gn||cpu=2,mem=10G,node=1|2-12:00:00|vmp1069
27501202|27501202|accre|production|h_vuiis|h_vuiis|36052|masispider||2018-05-24T21:08:13|2018-05-24T21:08:13|2018-05-24T21:46:24|2018-05-24T21:52:55|00:06:31|0:0|CANCELLED by 0|1|2|2|10Gn||cpu=2,mem=10G,node=1|2-12:00:00|vmp1001
27501243|27501243|accre|production|h_vuiis|h_vuiis|36052|masispider||2018-05-24T21:08:24|2018-05-24T21:08:24|2018-05-24T21:58:01|2018-05-24T22:04:32|00:06:31|0:0|CANCELLED by 0|1|2|2|10Gn||cpu=2,mem=10G,node=1|2-12:00:00|vmp370
27501265|27501265|accre|production|h_vuiis|h_vuiis|36052|masispider||2018-05-24T21:08:26|2018-05-24T21:08:26|2018-05-24T22:14:03|2018-05-24T22:19:05|00:05:02|0:0|CANCELLED by 0|1|2|2|10Gn||cpu=2,mem=10G,node=1|2-12:00:00|vmp1001
27501269|27501269|accre|production|h_vuiis|h_vuiis|36052|masispider||2018-05-24T21:08:27|2018-05-24T21:08:27|2018-05-24T22:14:03|2018-05-24T22:19:05|00:05:02|0:0|CANCELLED by 0|1|2|2|10Gn||cpu=2,mem=10G,node=1|2-12:00:00|vmp1025
27501356|27501356|accre|production|h_vuiis|h_vuiis|36052|masispider||2018-05-24T21:08:35|2018-05-24T21:08:35|2018-05-24T22:38:20|2018-05-24T22:48:50|00:10:30|0:0|CANCELLED by 0|1|2|2|10Gn||cpu=2,mem=10G,node=1|2-12:00:00|vmp1003
27501368|27501368|accre|production|h_vuiis|h_vuiis|36052|masispider||2018-05-24T21:08:36|2018-05-24T21:08:36|2018-05-24T22:50:33|2018-05-24T22:56:36|00:06:03|0:0|CANCELLED by 0|1|2|2|10Gn||cpu=2,mem=10G,node=1|2-12:00:00|vmp1003
27501384|27501384|accre|production|h_vuiis|h_vuiis|36052|masispider||2018-05-24T21:08:38|2018-05-24T21:08:38|2018-05-24T22:50:34|2018-05-24T22:54:04|00:03:30|0:0|CANCELLED by 0|1|2|2|10Gn||cpu=2,mem=10G,node=1|2-12:00:00|vmp1312
27501387|27501387|accre|production|h_vuiis|h_vuiis|36052|masispider||2018-05-24T21:08:38|2018-05-24T21:08:39|2018-05-24T22:58:46|2018-05-24T23:01:19|00:02:33|0:0|CANCELLED by 0|1|2|2|10Gn||cpu=2,mem=10G,node=1|2-12:00:00|vmp1008
27501406|27501406|accre|production|h_vuiis|h_vuiis|36052|masispider||2018-05-24T21:08:44|2018-05-24T21:08:44|2018-05-24T23:02:57|2018-05-24T23:06:27|00:03:30|0:0|CANCELLED by 0|1|2|2|10Gn||cpu=2,mem=10G,node=1|2-12:00:00|vmp226
27501409|27501409|accre|production|h_vuiis|h_vuiis|36052|masispider||2018-05-24T21:08:44|2018-05-24T21:08:44|2018-05-24T23:02:57|2018-05-24T23:07:28|00:04:31|0:0|CANCELLED by 0|1|2|2|10Gn||cpu=2,mem=10G,node=1|2-12:00:00|vmp1401
27501424|27501424|accre|production|h_vuiis|h_vuiis|36052|masispider||2018-05-24T21:08:46|2018-05-24T21:08:46|2018-05-24T23:07:02|2018-05-24T23:12:02|00:05:00|0:0|CANCELLED by 0|1|2|2|10Gn||cpu=2,mem=10G,node=1|2-12:00:00|vmp226
27503457|27503457|accre|production|h_vuiis|h_vuiis|36052|masispider||2018-05-24T23:09:13|2018-05-24T23:09:13|2018-05-24T23:11:02|2018-05-24T23:32:03|00:21:01|0:0|CANCELLED by 0|1|2|2|10Gn||cpu=2,mem=10G,node=1|2-12:00:00|vmp1216
27503472|27503472|accre|production|h_vuiis|h_vuiis|36052|masispider||2018-05-24T23:09:15|2018-05-24T23:09:15|2018-05-24T23:15:04|2018-05-24T23:38:04|00:23:00|0:0|CANCELLED by 0|1|2|2|10Gn||cpu=2,mem=10G,node=1|2-12:00:00|vmp499
27503484|27503484|accre|production|h_vuiis|h_vuiis|36052|masispider||2018-05-24T23:09:16|2018-05-24T23:09:16|2018-05-24T23:19:03|2018-05-24T23:34:35|00:15:32|0:0|CANCELLED by 0|1|2|2|10Gn||cpu=2,mem=10G,node=1|2-12:00:00|vmp403
27503491|27503491|accre|production|h_vuiis|h_vuiis|36052|masispider||2018-05-24T23:09:17|2018-05-24T23:09:17|2018-05-24T23:19:03|2018-05-24T23:30:04|00:11:01|0:0|CANCELLED by 0|1|2|2|10Gn||cpu=2,mem=10G,node=1|2-12:00:00|vmp330
27503496|27503496|accre|production|h_vuiis|h_vuiis|36052|masispider||2018-05-24T23:09:17|2018-05-24T23:09:17|2018-05-24T23:19:03|2018-05-24T23:36:16|00:17:13|0:0|CANCELLED by 0|1|2|2|10Gn||cpu=2,mem=10G,node=1|2-12:00:00|vmp473
27503515|27503515|accre|production|h_vuiis|h_vuiis|36052|masispider||2018-05-24T23:09:19|2018-05-24T23:09:19|2018-05-24T23:27:02|2018-05-24T23:31:34|00:04:32|0:0|CANCELLED by 0|1|2|2|10Gn||cpu=2,mem=10G,node=1|2-12:00:00|vmp487
27503523|27503523|accre|production|h_vuiis|h_vuiis|36052|masispider||2018-05-24T23:09:20|2018-05-24T23:09:20|2018-05-24T23:31:02|2018-05-24T23:36:43|00:05:41|0:0|CANCELLED by 0|1|2|2|10Gn||cpu=2,mem=10G,node=1|2-12:00:00|vmp1332
27503561|27503561|accre|production|h_vuiis|h_vuiis|36052|masispider||2018-05-24T23:09:26|2018-05-24T23:09:26|2018-05-24T23:39:14|2018-05-24T23:45:16|00:06:02|0:0|CANCELLED by 0|1|2|2|10Gn||cpu=2,mem=10G,node=1|2-12:00:00|vmp316
