JobID|ProcID|System|SubmissionType|Group|Class|Nan|User|Nan2|Submission|Submit|Start|Stop|Elapsed|ExitCode|State|NNodes|NCpus|NProcs|ReqMem|Nan3|AllRequest|Timelimit|NodeList
23309172|23309172|accre|production|h_vuiis|h_vuiis|36052|vuiiscci||2018-01-09T00:06:37|2018-01-09T00:06:37|2018-01-09T00:57:43|2018-01-09T01:27:45|00:30:02|1:0|TIMEOUT|1|1|1|4Gn||cpu=1,mem=4G,node=1|00:30:00|vmp1016
23309174|23309174|accre|production|h_vuiis|h_vuiis|36052|vuiiscci||2018-01-09T00:06:37|2018-01-09T00:06:37|2018-01-09T00:57:43|2018-01-09T01:27:45|00:30:02|1:0|TIMEOUT|1|1|1|4Gn||cpu=1,mem=4G,node=1|00:30:00|vmp1040
23309179|23309179|accre|production|h_vuiis|h_vuiis|36052|vuiiscci||2018-01-09T00:07:16|2018-01-09T00:07:16|2018-01-09T00:57:43|2018-01-09T01:27:45|00:30:02|1:0|TIMEOUT|1|1|1|4Gn||cpu=1,mem=4G,node=1|00:30:00|vmp1090
23309202|23309202|accre|production|h_vuiis|h_vuiis|36052|vuiiscci||2018-01-09T00:08:01|2018-01-09T00:08:01|2018-01-09T00:57:43|2018-01-09T01:27:45|00:30:02|1:0|TIMEOUT|1|1|1|4Gn||cpu=1,mem=4G,node=1|00:30:00|vmp1343
23336288|23336288|accre|production|h_vuiis|h_vuiis|36052|vuiiscci||2018-01-09T19:06:21|2018-01-09T19:06:21|2018-01-09T19:06:22|2018-01-09T19:36:48|00:30:26|1:0|TIMEOUT|1|1|1|4Gn||cpu=1,mem=4G,node=1|00:30:00|vmp1061
23336300|23336300|accre|production|h_vuiis|h_vuiis|36052|vuiiscci||2018-01-09T19:07:04|2018-01-09T19:07:04|2018-01-09T19:07:05|2018-01-09T19:37:33|00:30:28|1:0|TIMEOUT|1|1|1|4Gn||cpu=1,mem=4G,node=1|00:30:00|vmp1012
23336302|23336302|accre|production|h_vuiis|h_vuiis|36052|vuiiscci||2018-01-09T19:07:04|2018-01-09T19:07:04|2018-01-09T19:07:05|2018-01-09T19:37:33|00:30:28|1:0|TIMEOUT|1|1|1|4Gn||cpu=1,mem=4G,node=1|00:30:00|vmp1069
23336303|23336303|accre|production|h_vuiis|h_vuiis|36052|vuiiscci||2018-01-09T19:07:04|2018-01-09T19:07:04|2018-01-09T19:07:05|2018-01-09T19:37:33|00:30:28|1:0|TIMEOUT|1|1|1|4Gn||cpu=1,mem=4G,node=1|00:30:00|vmp1073
23336304|23336304|accre|production|h_vuiis|h_vuiis|36052|vuiiscci||2018-01-09T19:07:05|2018-01-09T19:07:05|2018-01-09T19:07:05|2018-01-09T19:37:33|00:30:28|1:0|TIMEOUT|1|1|1|4Gn||cpu=1,mem=4G,node=1|00:30:00|vmp1052
23336305|23336305|accre|production|h_vuiis|h_vuiis|36052|vuiiscci||2018-01-09T19:07:05|2018-01-09T19:07:05|2018-01-09T19:07:05|2018-01-09T19:37:33|00:30:28|1:0|TIMEOUT|1|1|1|4Gn||cpu=1,mem=4G,node=1|00:30:00|vmp213
23336308|23336308|accre|production|h_vuiis|h_vuiis|36052|vuiiscci||2018-01-09T19:07:15|2018-01-09T19:07:15|2018-01-09T19:07:17|2018-01-09T19:37:33|00:30:16|1:0|TIMEOUT|1|1|1|4Gn||cpu=1,mem=4G,node=1|00:30:00|vmp1125
23336309|23336309|accre|production|h_vuiis|h_vuiis|36052|vuiiscci||2018-01-09T19:07:15|2018-01-09T19:07:15|2018-01-09T19:07:17|2018-01-09T19:37:33|00:30:16|1:0|TIMEOUT|1|1|1|4Gn||cpu=1,mem=4G,node=1|00:30:00|vmp1126
23336310|23336310|accre|production|h_vuiis|h_vuiis|36052|vuiiscci||2018-01-09T19:07:15|2018-01-09T19:07:15|2018-01-09T19:07:17|2018-01-09T19:37:33|00:30:16|1:0|TIMEOUT|1|1|1|4Gn||cpu=1,mem=4G,node=1|00:30:00|vmp1129
23336311|23336311|accre|production|h_vuiis|h_vuiis|36052|vuiiscci||2018-01-09T19:07:15|2018-01-09T19:07:15|2018-01-09T19:07:17|2018-01-09T19:37:33|00:30:16|1:0|TIMEOUT|1|1|1|4Gn||cpu=1,mem=4G,node=1|00:30:00|vmp1130
